run;scenario;status;ttfb_ms;rtt_ms;total_ms
1;no-cdn;200;274.633000;91.765000;274.682000
2;no-cdn;200;273.895000;90.502000;274.042000
3;no-cdn;200;284.822000;100.674000;284.946000
4;no-cdn;200;273.126000;90.738000;273.208000
5;no-cdn;200;283.912000;89.244000;284.292000
6;no-cdn;200;353.008000;101.529000;353.183000
7;no-cdn;200;343.045000;100.912000;343.204000
8;no-cdn;200;328.725000;95.201000;328.899000
9;no-cdn;200;285.744000;99.807000;285.905000
10;no-cdn;200;316.968000;94.443000;317.145000
11;no-cdn;200;368.584000;94.179000;368.706000
12;no-cdn;200;251.308000;88.122000;251.480000
13;no-cdn;200;283.780000;101.308000;283.832000
14;no-cdn;200;283.673000;102.536000;283.730000
15;no-cdn;200;306.819000;108.166000;306.873000
16;no-cdn;200;303.938000;101.346000;304.016000
17;no-cdn;200;288.836000;96.413000;289.018000
18;no-cdn;200;369.072000;95.899000;369.227000
19;no-cdn;200;342.320000;100.114000;342.662000
20;no-cdn;200;294.815000;99.770000;294.947000
21;no-cdn;200;371.567000;98.991000;371.687000
22;no-cdn;200;301.423000;99.183000;301.497000
23;no-cdn;200;303.493000;100.050000;303.576000
24;no-cdn;200;272.004000;90.304000;272.123000
25;no-cdn;200;359.059000;106.558000;359.207000
26;no-cdn;200;263.113000;90.870000;263.216000
27;no-cdn;200;329.954000;117.905000;330.274000
28;no-cdn;200;5459.332000;5267.621000;5459.495000
29;no-cdn;200;285.948000;93.410000;286.116000
30;no-cdn;200;294.821000;101.795000;294.889000
31;no-cdn;200;293.932000;99.348000;294.064000
32;no-cdn;200;339.736000;125.075000;339.861000
33;no-cdn;200;355.400000;91.008000;355.922000
34;no-cdn;200;342.379000;108.743000;342.528000
35;no-cdn;200;277.953000;92.473000;278.121000
36;no-cdn;200;272.291000;88.703000;272.393000
37;no-cdn;200;266.789000;96.170000;266.856000
38;no-cdn;200;279.308000;96.743000;279.356000
39;no-cdn;200;270.301000;88.814000;270.474000
40;no-cdn;200;248.298000;86.175000;248.419000
41;no-cdn;200;304.492000;102.070000;304.618000
42;no-cdn;200;338.178000;94.414000;338.304000
43;no-cdn;200;366.006000;104.068000;366.190000
44;no-cdn;200;309.933000;107.968000;309.989000
45;no-cdn;200;294.999000;93.491000;295.136000
46;no-cdn;200;330.581000;87.548000;331.071000
47;no-cdn;200;350.876000;109.900000;351.016000
48;no-cdn;200;352.128000;99.184000;352.292000
49;no-cdn;200;293.413000;91.037000;293.593000
50;no-cdn;200;327.404000;104.342000;327.570000
