run;scenario;ttfb_ms;rtt_ms;total_ms
1;cdn;209.923000;63.217000;210.050000
2;cdn;268.064000;62.063000;268.262000
3;cdn;258.636000;61.322000;258.808000
4;cdn;199.110000;77.098000;199.182000
5;cdn;218.834000;65.842000;219.000000
6;cdn;190.598000;66.172000;190.697000
7;cdn;247.417000;60.226000;247.498000
8;cdn;281.822000;77.187000;281.968000
9;cdn;240.123000;80.880000;240.295000
10;cdn;249.191000;72.147000;249.343000
11;cdn;324.313000;59.293000;324.469000
12;cdn;185.315000;65.906000;185.414000
13;cdn;179.750000;62.991000;179.822000
14;cdn;185.447000;61.076000;185.519000
15;cdn;226.661000;77.118000;226.725000
16;cdn;201.183000;53.211000;201.272000
17;cdn;170.570000;40.133000;170.677000
18;cdn;215.527000;89.336000;215.611000
19;cdn;189.592000;53.544000;189.688000
20;cdn;173.223000;51.343000;173.346000
21;cdn;181.580000;38.107000;181.860000
22;cdn;224.278000;80.184000;224.387000
23;cdn;198.730000;47.182000;198.822000
24;cdn;211.131000;60.829000;211.879000
25;cdn;198.658000;46.789000;198.800000
26;cdn;237.345000;84.425000;237.482000
27;cdn;178.954000;54.767000;179.022000
28;cdn;150.785000;40.441000;150.939000
29;cdn;171.879000;51.215000;171.923000
30;cdn;194.674000;57.245000;194.715000
